timestamp ,open   ,high   ,low    ,close  ,adjusted_close,volume   ,dividend_amount,split_coefficient
2018-04-16,52.2900,52.5300,51.7900,52.4000,52.4000       ,18769059 ,0.0000         ,1.0000
2018-04-13,53.0600,53.2100,51.6000,51.8600,51.8600       ,20884874 ,0.0000         ,1.0000
2018-04-12,51.4900,53.2689,51.4500,52.7200,52.7200       ,29781357 ,0.0000         ,1.0000
2018-04-11,50.9900,51.7300,50.8200,51.1000,51.1000       ,17568432 ,0.0000         ,1.0000
2018-04-10,51.1200,51.4900,50.3400,51.2700,51.2700       ,26417762 ,0.0000         ,1.0000
2018-04-09,49.1600,51.1100,49.1600,49.5500,49.5500       ,31436989 ,0.0000         ,1.0000
2018-04-06,49.7900,50.4000,48.5000,48.7900,48.7900       ,28215164 ,0.0000         ,1.0000
2018-04-05,50.0100,50.7199,49.9700,50.3800,50.3800       ,25115351 ,0.0000         ,1.0000
2018-04-04,48.1000,50.1600,48.0100,49.9900,49.9900       ,30370046 ,0.0000         ,1.0000
2018-04-03,49.0000,49.9600,48.4100,49.7500,49.7500       ,39432360 ,0.0000         ,1.0000
2018-04-02,51.6900,52.0400,47.2900,48.9200,48.9200       ,67187824 ,0.0000         ,1.0000
2018-03-29,49.9800,52.0800,49.8700,52.0800,52.0800       ,45265805 ,0.0000         ,1.0000
2018-03-28,50.5000,50.7000,49.0100,49.6000,49.6000       ,37970859 ,0.0000         ,1.0000
2018-03-27,53.0100,53.2500,50.7800,51.1900,51.1900       ,37076576 ,0.0000         ,1.0000
2018-03-26,50.7400,52.4900,50.3200,52.4800,52.4800       ,37527480 ,0.0000         ,1.0000
2018-03-23,50.5900,50.9900,49.3600,49.3600,49.3600       ,36741700 ,0.0000         ,1.0000
2018-03-22,50.7400,51.9600,50.6000,50.8300,50.8300       ,30650151 ,0.0000         ,1.0000
2018-03-21,51.5500,52.1700,51.1700,51.5600,51.5600       ,22984769 ,0.0000         ,1.0000
2018-03-20,50.8800,51.8100,50.8500,51.5500,51.5500       ,21674287 ,0.0000         ,1.0000
2018-03-19,50.7400,51.2300,49.9300,50.8300,50.8300       ,27562085 ,0.0000         ,1.0000
2018-03-16,51.1700,51.7000,50.9900,51.1700,51.1700       ,38948825 ,0.0000         ,1.0000
2018-03-15,52.2300,52.3000,50.8800,50.8800,50.8800       ,24474918 ,0.0000         ,1.0000
2018-03-14,52.0600,52.1750,51.3100,51.8600,51.8600       ,24049899 ,0.0000         ,1.0000
2018-03-13,52.5200,53.7800,51.3900,51.7800,51.7800       ,44646094 ,0.0000         ,1.0000
2018-03-12,51.8600,51.9500,50.5000,51.5200,51.5200       ,31475368 ,0.0000         ,1.0000
2018-03-09,51.2700,52.3000,51.0000,52.1900,52.1900       ,30943178 ,0.0000         ,1.0000
2018-03-08,51.7900,52.0800,50.4700,50.7400,50.7400       ,28132301 ,0.0000         ,1.0000
2018-03-07,50.1800,51.4850,50.1000,51.3200,51.3200       ,31801943 ,0.0000         ,1.0000
2018-03-06,50.1600,51.3300,50.1500,50.7100,50.7100       ,39132300 ,0.0000         ,1.0000
2018-03-05,48.5700,49.7950,48.0410,49.7500,49.7500       ,30826521 ,0.0000         ,1.0000
2018-03-02,47.2000,49.0500,46.9600,48.9800,48.9800       ,33310592 ,0.0000         ,1.0000
2018-03-01,49.5000,49.7150,47.4700,47.8400,47.8400       ,36326639 ,0.0000         ,1.0000
2018-02-28,50.1800,50.3400,49.2800,49.2900,49.2900       ,33888511 ,0.0000         ,1.0000
2018-02-27,49.3700,50.9000,49.3100,49.9100,49.9100       ,42654658 ,0.0000         ,1.0000
2018-02-26,48.2000,49.1300,48.1000,49.1100,49.1100       ,25774143 ,0.0000         ,1.0000
2018-02-23,46.3400,47.7900,46.3050,47.7300,47.7300       ,25243762 ,0.0000         ,1.0000
2018-02-22,46.1400,46.5600,45.6200,45.8000,45.8000       ,16447235 ,0.0000         ,1.0000
2018-02-21,46.6700,47.0600,45.9200,45.9400,45.9400       ,26160344 ,0.0000         ,1.0000
2018-02-20,45.4600,46.7100,45.3900,46.3200,46.3200       ,25140384 ,0.0000         ,1.0000
2018-02-16,45.8150,46.5900,45.5100,45.5600,45.5600       ,21133346 ,0.0000         ,1.0000
2018-02-15,45.8800,45.9900,44.9500,45.9200,45.9200       ,21948450 ,0.0000         ,1.0000
2018-02-14,44.0700,45.5100,44.0400,45.3800,45.3800       ,19511201 ,0.0000         ,1.0000
2018-02-13,44.5900,44.7750,44.2550,44.4600,44.4600       ,19192378 ,0.0000         ,1.0000
2018-02-12,44.1500,45.1600,44.0900,44.8300,44.8300       ,27821903 ,0.0000         ,1.0000
2018-02-09,43.5000,44.2800,42.0400,43.9500,43.9500       ,43130385 ,0.0000         ,1.0000
2018-02-08,45.2800,45.4200,42.7400,42.7500,42.7500       ,38595511 ,0.0000         ,1.0000
2018-02-07,44.5800,46.3000,44.3400,45.2000,45.2000       ,37012974 ,0.0000         ,1.0000
2018-02-06,44.0200,44.9300,43.0302,44.9100,44.9100       ,56592105 ,0.3000         ,1.0000
2018-02-05,46.3500,47.2600,44.5000,44.5200,44.2246       ,40695643 ,0.0000         ,1.0000
2018-02-02,47.3200,47.7900,46.1000,46.1500,45.8438       ,27496966 ,0.0000         ,1.0000
2018-02-01,47.6950,48.4700,47.4500,47.6500,47.3338       ,28449942 ,0.0000         ,1.0000
2018-01-31,49.2300,49.2500,47.5600,48.1400,47.8206       ,40547656 ,0.0000         ,1.0000
2018-01-30,49.4800,50.0600,48.7400,48.7900,48.4662       ,31477243 ,0.0000         ,1.0000
2018-01-29,49.6000,50.8500,49.3700,49.9800,49.6483       ,45008982 ,0.0000         ,1.0000
2018-01-26,48.3800,50.1500,48.1200,50.0800,49.7477       ,84104806 ,0.0000         ,1.0000
2018-01-25,45.8800,46.3700,45.1700,45.3000,44.9994       ,30961792 ,0.0000         ,1.0000
2018-01-24,45.9000,46.1300,44.9600,45.5100,45.2080       ,33109340 ,0.0000         ,1.0000
2018-01-23,45.8100,46.0900,45.6300,46.0600,45.7544       ,20130997 ,0.0000         ,1.0000
2018-01-22,44.8000,45.7900,44.7900,45.7500,45.4464       ,26806431 ,0.0000         ,1.0000
2018-01-19,44.6200,44.8900,44.2500,44.8200,44.5226       ,24363801 ,0.0000         ,1.0000
2018-01-18,44.4000,44.7350,44.1700,44.4800,44.1848       ,25982209 ,0.0000         ,1.0000
2018-01-17,43.5450,44.4500,43.5100,44.3900,44.0954       ,30000859 ,0.0000         ,1.0000
2018-01-16,43.5500,43.7900,42.8850,43.1400,42.8537       ,37324201 ,0.0000         ,1.0000
2018-01-12,43.4500,43.6000,43.0100,43.2400,42.9531       ,29583447 ,0.0000         ,1.0000
2018-01-11,42.8000,43.5800,42.4500,43.4100,43.1219       ,31523034 ,0.0000         ,1.0000
2018-01-10,43.3300,43.6000,42.4400,42.5000,42.2180       ,44059159 ,0.0000         ,1.0000
2018-01-09,44.7000,44.8400,43.4900,43.6200,43.3306       ,43492902 ,0.0000         ,1.0000
2018-01-08,44.2700,44.8400,43.9600,44.7400,44.4431       ,33170821 ,0.0000         ,1.0000
2018-01-05,44.4300,45.1500,43.9000,44.7400,44.4431       ,41108418 ,0.0000         ,1.0000
2018-01-04,43.5200,44.6500,42.6900,44.4300,44.1352       ,88431631 ,0.0000         ,1.0000
2018-01-03,45.4700,46.2100,43.6500,45.2600,44.9597       ,113815771,0.0000         ,1.0000
2018-01-02,46.3800,46.9000,46.2100,46.8500,46.5391       ,22435059 ,0.0000         ,1.0000
2017-12-29,46.2100,46.4900,46.0900,46.1600,45.8537       ,17136416 ,0.0000         ,1.0000
2017-12-28,46.3600,46.3600,45.9500,46.2200,45.9133       ,9279766  ,0.0000         ,1.0000
2017-12-27,46.1100,46.3600,46.0000,46.1100,45.8040       ,12412977 ,0.0000         ,1.0000
2017-12-26,46.2800,46.4700,45.9500,46.0800,45.7742       ,15477747 ,0.0000         ,1.0000
2017-12-22,46.3300,47.0200,46.0200,46.7000,46.3901       ,33404280 ,0.0000         ,1.0000
2017-12-21,47.5400,47.5900,46.5600,46.7600,46.4497       ,42113273 ,0.0000         ,1.0000
2017-12-20,47.4700,47.6400,46.6600,47.5600,47.2444       ,39536777 ,0.0000         ,1.0000
2017-12-19,46.3000,47.2600,45.8900,47.0400,46.7279       ,39973826 ,0.0000         ,1.0000
2017-12-18,45.1500,46.3500,45.0400,46.2600,45.9530       ,49305190 ,0.0000         ,1.0000
2017-12-15,43.4000,44.8400,43.0700,44.5600,44.2643       ,44377039 ,0.0000         ,1.0000
2017-12-14,43.4300,43.5700,43.0150,43.2600,42.9729       ,18871565 ,0.0000         ,1.0000
2017-12-13,43.6500,43.6600,43.2400,43.3400,43.0524       ,21055298 ,0.0000         ,1.0000
2017-12-12,43.4700,43.6200,43.0800,43.3300,43.0425       ,15571482 ,0.0000         ,1.0000
2017-12-11,43.2800,43.7800,43.2500,43.6600,43.3703       ,18840783 ,0.0000         ,1.0000
2017-12-08,43.3500,43.5800,43.1100,43.3500,43.0623       ,22833083 ,0.0000         ,1.0000
2017-12-07,43.4600,43.6000,42.7800,43.0800,42.7941       ,31193561 ,0.0000         ,1.0000
2017-12-06,43.1400,43.7200,42.6700,43.4500,43.1617       ,24497550 ,0.0000         ,1.0000
2017-12-05,44.6000,44.9000,43.2300,43.4400,43.1517       ,30112131 ,0.0000         ,1.0000
2017-12-04,45.0200,45.3000,44.3300,44.4900,44.1948       ,26829460 ,0.0000         ,1.0000
2017-12-01,44.7300,44.8400,43.5300,44.6800,44.3835       ,26640551 ,0.0000         ,1.0000
2017-11-30,44.3600,45.2000,44.3300,44.8400,44.5425       ,34093264 ,0.0000         ,1.0000
2017-11-29,44.8500,45.0900,43.7700,43.9500,43.6584       ,26755699 ,0.0000         ,1.0000
2017-11-28,44.6500,44.8400,44.3200,44.7300,44.4332       ,19084500 ,0.0000         ,1.0000
2017-11-27,44.4200,44.6100,44.2736,44.4900,44.1948       ,17187942 ,0.0000         ,1.0000
2017-11-24,44.5500,44.7750,44.4300,44.7500,44.4531       ,6465615  ,0.0000         ,1.0000
2017-11-22,44.9400,44.9500,44.5350,44.6500,44.3537       ,19191241 ,0.0000         ,1.0000
2017-11-21,44.7200,45.2200,44.7100,44.9400,44.6418       ,20730988 ,0.0000         ,1.0000
2017-11-20,44.7300,45.1150,44.5000,44.6200,44.3239       ,22162614 ,0.0000         ,1.0000
