timestamp ,open    ,high    ,low     ,close   ,adjusted_close,volume ,dividend_amount,split_coefficient
2018-04-16,122.8000,124.2100,122.7800,123.7900,123.7900      ,1003458,0.0000         ,1.0000
2018-04-13,122.6300,123.2600,121.4800,122.0000,122.0000      ,975188 ,0.0000         ,1.0000
2018-04-12,121.3300,123.0500,121.1200,121.7100,121.7100      ,881888 ,0.0000         ,1.0000
2018-04-11,120.0900,121.5800,120.0900,120.3900,120.3900      ,919347 ,0.0000         ,1.0000
2018-04-10,120.3700,120.9800,119.1150,120.5300,120.5300      ,863802 ,0.0000         ,1.0000
2018-04-09,118.1200,120.2500,118.1200,118.3000,118.3000      ,1116529,0.0000         ,1.0000
2018-04-06,118.3000,119.8100,117.0800,117.6900,117.6900      ,1082266,0.0000         ,1.0000
2018-04-05,119.0700,120.3200,118.3300,119.2200,119.2200      ,1062906,0.0000         ,1.0000
2018-04-04,115.1600,118.1200,114.0110,117.8400,117.8400      ,926676 ,0.0000         ,1.0000
2018-04-03,116.6200,117.8000,115.5950,117.1500,117.1500      ,1159803,0.0000         ,1.0000
2018-04-02,118.1700,119.5400,115.0150,115.7400,115.7400      ,1198455,0.0000         ,1.0000
2018-03-29,116.9300,119.7300,116.3200,118.5600,118.5600      ,1120251,0.0000         ,1.0000
2018-03-28,117.7800,119.0700,115.6600,116.4000,116.4000      ,1211226,0.0000         ,1.0000
2018-03-27,121.5700,122.6300,116.7400,117.4800,117.4800      ,1441898,0.0000         ,1.0000
2018-03-26,121.3100,122.8100,119.3600,121.4700,121.4700      ,1397964,0.0000         ,1.0000
2018-03-23,123.0600,124.3900,119.4300,119.4800,119.4800      ,1433059,0.0000         ,1.0000
2018-03-22,122.8100,125.1600,122.5800,122.6500,122.6500      ,920700 ,0.0000         ,1.0000
2018-03-21,125.1300,126.5000,124.3700,124.6000,124.6000      ,965332 ,0.0000         ,1.0000
2018-03-20,124.7200,126.2800,124.7200,125.2000,125.2000      ,1175443,0.0000         ,1.0000
2018-03-19,125.1400,126.3900,123.1400,124.2200,124.2200      ,1540338,0.0000         ,1.0000
2018-03-16,125.5700,127.2400,125.5700,125.9200,125.9200      ,1904500,0.0000         ,1.0000
2018-03-15,123.7700,126.5000,123.7700,125.3100,125.3100      ,1833219,0.0000         ,1.0000
2018-03-14,121.0000,125.0700,120.2100,123.0100,123.0100      ,1998195,0.0000         ,1.0000
2018-03-13,121.2400,122.5200,120.0800,120.5100,120.5100      ,1246572,0.0000         ,1.0000
2018-03-12,120.7200,120.9900,119.8350,120.2400,120.2400      ,925201 ,0.0000         ,1.0000
2018-03-09,119.2800,120.9100,117.7600,120.4600,120.4600      ,1217002,0.0000         ,1.0000
2018-03-08,117.4200,118.4400,116.6600,118.3500,118.3500      ,775241 ,0.0000         ,1.0000
2018-03-07,116.6100,118.4900,116.3200,117.9300,117.9300      ,1255379,0.0000         ,1.0000
2018-03-06,117.6500,118.4500,116.1200,117.4500,117.4500      ,598173 ,0.0000         ,1.0000
2018-03-05,115.1000,117.4000,114.8800,117.2600,117.2600      ,567562 ,0.0000         ,1.0000
2018-03-02,113.9700,115.9900,113.0400,115.7800,115.7800      ,603812 ,0.0000         ,1.0000
2018-03-01,116.0600,116.8600,113.7800,115.0200,115.0200      ,804248 ,0.0000         ,1.0000
2018-02-28,117.1000,118.3600,116.0000,116.0200,116.0200      ,869892 ,0.0000         ,1.0000
2018-02-27,117.5900,118.4800,116.4100,116.4100,116.4100      ,821655 ,0.0000         ,1.0000
2018-02-26,118.4600,118.9900,116.6200,117.2500,117.2500      ,847224 ,0.0000         ,1.0000
2018-02-23,115.4900,118.1200,114.7892,117.6400,117.6400      ,714471 ,0.0000         ,1.0000
2018-02-22,116.4700,117.7300,114.5300,114.9200,114.9200      ,923942 ,0.0000         ,1.0000
2018-02-21,116.8300,118.1100,115.5800,115.7000,115.7000      ,1164927,0.0000         ,1.0000
2018-02-20,119.7000,120.0000,116.1800,116.3400,116.3400      ,1940963,0.0000         ,1.0000
2018-02-16,116.4700,121.6100,116.2300,120.5500,120.5500      ,2319024,0.0000         ,1.0000
2018-02-15,114.8000,116.4800,114.1700,116.3500,116.3500      ,981514 ,0.0000         ,1.0000
2018-02-14,110.1800,114.0300,110.0000,113.9800,113.9800      ,824918 ,0.0000         ,1.0000
2018-02-13,110.4500,111.4100,109.2000,110.5700,110.5700      ,1013742,0.0000         ,1.0000
2018-02-12,109.5600,111.5300,109.2800,111.0300,111.0300      ,3583095,0.0000         ,1.0000
2018-02-09,107.3000,110.6300,105.4000,109.0900,109.0900      ,2045957,0.0000         ,1.0000
2018-02-08,109.2400,110.0000,105.5300,105.6200,105.6200      ,1113044,0.0000         ,1.0000
2018-02-07,109.1100,110.9100,108.1900,109.1100,109.1100      ,973681 ,0.0000         ,1.0000
2018-02-06,106.9200,109.8500,106.0910,109.4100,109.4100      ,1152636,0.0000         ,1.0000
2018-02-05,111.9000,113.2400,108.7000,108.7300,108.7300      ,768725 ,0.0000         ,1.0000
2018-02-02,113.8500,114.4200,112.4600,112.5100,112.5100      ,781163 ,0.0000         ,1.0000
2018-02-01,114.2100,116.3400,113.6401,114.7000,114.7000      ,851386 ,0.0000         ,1.0000
2018-01-31,112.3500,115.3200,112.2200,114.9200,114.9200      ,895155 ,0.0000         ,1.0000
2018-01-30,111.6500,113.1200,111.5100,112.1500,112.1500      ,441365 ,0.0000         ,1.0000
2018-01-29,114.8900,115.4400,111.9200,112.4100,112.4100      ,930752 ,0.0000         ,1.0000
2018-01-26,116.6200,116.6300,115.1500,115.3100,115.3100      ,607189 ,0.0000         ,1.0000
2018-01-25,116.2800,116.6350,115.6300,115.9900,115.9900      ,545450 ,0.0000         ,1.0000
2018-01-24,116.0700,116.6200,115.3500,115.7700,115.7700      ,463863 ,0.0000         ,1.0000
2018-01-23,114.4000,115.9900,114.3100,115.7700,115.7700      ,605039 ,0.0000         ,1.0000
2018-01-22,114.4800,115.0800,114.2500,114.4600,114.4600      ,948071 ,0.0000         ,1.0000
2018-01-19,115.0700,115.2600,114.1000,114.4800,114.4800      ,813635 ,0.0000         ,1.0000
2018-01-18,114.0900,115.1700,114.0900,114.5400,114.5400      ,695635 ,0.0000         ,1.0000
2018-01-17,113.0700,114.4700,112.9800,114.0000,114.0000      ,680929 ,0.0000         ,1.0000
2018-01-16,113.7500,114.0300,112.5000,112.6500,112.6500      ,613622 ,0.0000         ,1.0000
2018-01-12,112.2300,113.7900,112.0100,113.6100,113.6100      ,647968 ,0.0000         ,1.0000
2018-01-11,112.3200,112.8100,111.6000,112.2300,112.2300      ,744497 ,0.0000         ,1.0000
2018-01-10,112.4300,112.6100,111.7400,111.9600,111.9600      ,571025 ,0.0000         ,1.0000
2018-01-09,114.7900,114.7900,112.1100,112.9700,112.9700      ,854950 ,0.0000         ,1.0000
2018-01-08,112.4400,114.6000,112.2700,114.3100,114.3100      ,649323 ,0.0000         ,1.0000
2018-01-05,111.7900,113.0200,111.7301,113.0000,113.0000      ,508556 ,0.0000         ,1.0000
2018-01-04,111.5400,112.3500,110.6000,111.4700,111.4700      ,705735 ,0.0000         ,1.0000
2018-01-03,109.7200,111.0300,108.5500,110.9000,110.9000      ,1186690,0.0000         ,1.0000
2018-01-02,114.6900,115.1300,109.3200,109.4700,109.4700      ,1388799,0.0000         ,1.0000
2017-12-29,115.7600,116.4300,114.3800,114.4400,114.4400      ,494886 ,0.0000         ,1.0000
2017-12-28,114.6500,115.6000,114.3700,115.5000,115.5000      ,412804 ,0.0000         ,1.0000
2017-12-27,113.9000,114.5100,113.6900,114.3800,114.3800      ,431688 ,0.0000         ,1.0000
2017-12-26,113.3500,114.2200,112.5100,113.9100,113.9100      ,703215 ,0.0000         ,1.0000
2017-12-22,114.3700,114.3700,113.1601,113.9900,113.9900      ,452022 ,0.0000         ,1.0000
2017-12-21,116.1100,116.5000,114.0400,114.1900,114.1900      ,961808 ,0.0000         ,1.0000
2017-12-20,116.0900,116.1900,114.8300,116.0100,116.0100      ,493825 ,0.0000         ,1.0000
2017-12-19,116.1400,116.3600,114.5400,115.5500,115.5500      ,882292 ,0.0000         ,1.0000
2017-12-18,115.9000,117.1300,115.4000,116.1000,116.1000      ,690475 ,0.0000         ,1.0000
2017-12-15,114.5300,115.2000,114.1000,115.0300,115.0300      ,1044726,0.0000         ,1.0000
2017-12-14,114.1100,114.6700,114.0000,114.1400,114.1400      ,674018 ,0.0000         ,1.0000
2017-12-13,114.3300,115.4600,113.6000,113.7800,113.7800      ,910021 ,0.0000         ,1.0000
2017-12-12,114.5100,114.8050,113.9100,114.3700,114.3700      ,564453 ,0.0000         ,1.0000
2017-12-11,113.2300,114.4410,113.2300,114.3200,114.3200      ,568093 ,0.0000         ,1.0000
2017-12-08,113.1000,113.5700,112.5200,112.9800,112.9800      ,678526 ,0.0000         ,1.0000
2017-12-07,112.1100,113.7100,112.1100,112.8200,112.8200      ,1796296,0.0000         ,1.0000
2017-12-06,112.0500,113.2100,111.6100,112.4000,112.4000      ,691611 ,0.0000         ,1.0000
2017-12-05,112.3600,113.6700,111.7300,112.4400,112.4400      ,825787 ,0.0000         ,1.0000
2017-12-04,115.3600,115.5000,112.3100,112.5600,112.5600      ,799751 ,0.0000         ,1.0000
2017-12-01,115.3600,115.7600,112.9900,114.9600,114.9600      ,826713 ,0.0000         ,1.0000
2017-11-30,114.8100,115.8400,114.4200,115.1000,115.1000      ,2637207,0.0000         ,1.0000
2017-11-29,117.0000,117.0000,113.9700,114.7400,114.7400      ,1404753,0.0000         ,1.0000
2017-11-28,117.6300,118.2800,116.7000,117.0100,117.0100      ,806116 ,0.0000         ,1.0000
2017-11-27,117.2500,117.7800,116.6400,117.0900,117.0900      ,864840 ,0.0000         ,1.0000
2017-11-24,116.2000,117.5000,115.8000,117.2400,117.2400      ,314637 ,0.0000         ,1.0000
2017-11-22,116.1400,116.5800,115.6000,115.7700,115.7700      ,725026 ,0.0000         ,1.0000
2017-11-21,116.0300,117.1300,115.5800,116.0600,116.0600      ,1169232,0.0000         ,1.0000
2017-11-20,114.0500,115.4900,113.9200,115.1800,115.1800      ,849626 ,0.0000         ,1.0000
